vertical,prospect,market,observable_fit,score,tier,public_phone,personalization_angle,owner,jab1_status,jab2_status,hook_status,suppression_status
Legal,"Black and Davison, P.C.",Chambersburg PA,"Full-service; business, family, estate, real estate; long local presence",85,A,717-264-5194,"Multiple practice workflows and sensitive client information",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Salzmann Hughes, P.C.",Chambersburg PA,"Multi-practice; municipal/government/land-use work; related settlement services",88,A,717-263-2121,"High-consequence municipal and transaction workflows",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Zullinger-Davis-Trinh, P.C.",Chambersburg PA,"Multi-practice; Chambersburg plus Shippensburg; estate/real estate/family/business",90,A,717-264-6029,"Multi-office operations plus document-intensive practices",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Murphy & Childers, P.C.",Chambersburg PA,"Elder/estate practice; Chambersburg plus Waynesboro",84,A,717-261-0117,"Multi-office continuity and highly sensitive estate/client records",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Mooney Law",Chambersburg PA,"Multi-practice and broader regional footprint",89,A,717-913-8106,"Regional/multi-location operational complexity",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Walker & Spang, LLC",Chambersburg PA,"Family, criminal, elder, estate, real estate",80,A,717-262-2185,"Multiple sensitive practice workflows",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Sharpe & Sharpe, LLP",Chambersburg PA,"Estate, real estate and business-oriented practice",78,A,717-263-8447,"Transaction/document availability and deadline sensitivity",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Hoskinson Wenger & Rife",Chambersburg PA,"Estate, elder, business and real estate focus",76,A,717-263-8535,"Sensitive records and process continuity",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Kitay Law Offices",Chambersburg PA,"Statewide multi-practice firm; electronic document exchange",91,A,610-426-1282,"Distributed operations and digital client workflow",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Metzner & Houpt",Hagerstown MD,"Partner-led firm serving multiple Western Maryland markets",77,A,301-739-7400,"Regional client service and document/email dependency",ThinkEzIT,not_started,not_started,not_started,active
Legal,"HWK Law Group",Hagerstown MD,"Established Hagerstown law firm",75,A,301-739-1013,"Local professional-services technology dependency",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Allied Attorneys of Central Pennsylvania, LLC",Carlisle PA,"General practice across estate/family/real-estate/personal injury",76,A,717-249-1177,"Broad sensitive-data and deadline-driven workflows",ThinkEzIT,not_started,not_started,not_started,active
Legal,"Portner & Shure, P.A.",Frederick MD,"Multi-practice; Frederick satellite within broader firm",83,A,410-995-1515,"Distributed-office and high-volume client workflow",ThinkEzIT,not_started,not_started,not_started,active
Healthcare,"Chambersburg Dental Associates Ltd",Chambersburg PA,"Multiple dentists; Chambersburg and Mercersburg offices; digital patient forms",91,A,717-264-2011,"Multi-site clinical workflow, imaging, scheduling and patient records",ThinkEzIT,not_started,not_started,not_started,active
Healthcare,"Cumberland Valley Dental Care",Chambersburg PA,"Multi-dentist practice",80,A,717-263-3123,"Shared clinical endpoints and scheduling dependency",ThinkEzIT,not_started,not_started,not_started,active
Healthcare,"First Choice Dental Care",Chambersburg PA,"Busy general dentistry practice",76,A,717-876-6708,"Front-desk, scheduling and clinical workstation continuity",ThinkEzIT,not_started,not_started,not_started,active
Healthcare,"Wolter Advanced Dental Care",Chambersburg PA,"Modern general/cosmetic/implant practice",75,A,717-496-9093,"Technology-supported clinical and patient communications workflow",ThinkEzIT,not_started,not_started,not_started,active
Healthcare,"Keystone Health",Chambersburg PA,"Large multi-practice community health organization with many sites/services",96,A,717-709-7900,"Complex multi-site clinical, pharmacy, behavioral health and administrative dependency",ThinkEzIT,not_started,not_started,not_started,active
Healthcare,"U.N.I. Urgent Care Center",Hagerstown MD,"Extended-hours walk-in urgent care",79,A,240-203-7631,"Extended-hours availability and patient-flow dependency",ThinkEzIT,not_started,not_started,not_started,active
